data,Velocidade Média do Vento 10m,Precipitação Pluviométrica,Pressão Atmosférica,Direção do Vento 10m,Radiação,Temperatura do Ar a 2m,Umidade Relativa do Ar a 2m
2005-02-06 09:00:00,3.8,0.0,944.2,57.0,0.0,21.5,
2005-02-06 12:00:00,3.5,0.0,946.3,75.0,137.04,23.7,
2005-02-06 15:00:00,3.1,0.0,945.6,69.0,327.78,25.8,
2005-02-06 18:00:00,2.4,0.0,943.7,87.0,262.04,27.1,
2005-12-15 06:00:00,4.0,,1003.6,288.0,0.0,,51.2
2005-12-15 09:00:00,0.0,0.0,850.0,0.0,0.0,,
2005-12-15 12:00:00,,,915.8,264.0,1084.26,,51.2
2005-12-15 15:00:00,0.0,,870.4,264.0,587.96,,
2005-12-15 18:00:00,,,1004.6,312.0,96.3,23.3,
2005-12-15 21:00:00,0.0,,881.9,294.0,37.04,,38.4
2005-12-16 00:00:00,6.0,,1003.6,9.0,,,51.2
2005-12-16 03:00:00,,127.4,850.0,72.0,,,
2005-12-16 06:00:00,15.0,196.0,852.4,45.0,,,
2005-12-16 09:00:00,0.0,,926.8,240.0,1057.41,,38.4
2005-12-16 12:00:00,,,852.4,87.0,568.52,,52.8
2005-12-16 15:00:00,2.0,0.0,869.7,0.0,1094.44,,91.2
2005-12-16 18:00:00,2.0,3.2,870.5,0.0,1112.96,,59.2
2005-12-16 21:00:00,3.0,83.2,875.7,0.0,1089.81,,62.4
2005-12-17 00:00:00,2.0,164.0,880.3,0.0,,,65.6
2005-12-17 03:00:00,,19.2,1003.6,234.0,0.0,34.0,30.4
2005-12-17 06:00:00,,,850.0,144.0,,,52.8
2005-12-17 09:00:00,15.0,19.2,1003.6,120.0,0.0,,
2005-12-17 12:00:00,,,916.7,255.0,1057.41,,51.2
2005-12-17 15:00:00,0.0,,1040.4,360.0,588.89,30.4,
2005-12-17 18:00:00,,100.8,1004.6,255.0,262.96,,
2005-12-17 21:00:00,0.0,,885.4,294.0,72.22,32.5,38.4
2005-12-18 00:00:00,0.0,6.4,979.2,96.0,,,51.2
2005-12-18 03:00:00,,102.8,975.6,192.0,,,
2005-12-18 06:00:00,12.0,6.4,1005.5,0.0,,,
2005-12-18 09:00:00,6.0,102.8,915.5,3.0,142.59,39.4,12.8
2005-12-18 12:00:00,,59.2,855.2,,0.0,,
2005-12-18 15:00:00,,62.6,853.5,,0.0,,
2005-12-18 18:00:00,,57.8,853.8,,0.0,,
2005-12-18 21:00:00,15.0,19.2,855.0,132.0,0.0,44.2,
2005-12-19 00:00:00,,,992.0,216.0,,,76.8
2005-12-19 03:00:00,1.0,,875.6,138.0,,,92.8
2005-12-19 06:00:00,,,880.9,195.0,,16.6,
2005-12-19 09:00:00,0.0,16.0,855.8,288.0,31.48,17.2,68.8
2005-12-19 12:00:00,,19.2,1003.6,210.0,0.0,,28.8
2005-12-19 15:00:00,,,850.0,312.0,26.85,,52.8
2005-12-19 18:00:00,,,852.4,96.0,568.52,,32.0
2005-12-19 21:00:00,,,926.8,6.0,0.93,,30.4
2005-12-20 00:00:00,0.0,2.8,921.3,180.0,0.0,,
2005-12-20 03:00:00,0.0,3.6,850.0,165.0,0.0,,
2005-12-20 06:00:00,0.0,4.4,850.0,111.0,0.0,,
2005-12-20 09:00:00,0.0,6.0,850.0,99.0,0.0,,
2005-12-20 12:00:00,0.0,,855.9,288.0,1031.48,,64.0
2005-12-20 15:00:00,,,1042.4,0.0,21.3,27.7,76.8
2005-12-20 18:00:00,15.0,0.0,933.2,0.0,166.67,23.4,56.0
2005-12-20 21:00:00,0.0,1.2,852.9,9.0,18.52,19.2,16.0
2005-12-21 00:00:00,0.0,6.4,1003.6,96.0,,,51.2
2005-12-21 03:00:00,,102.8,850.0,192.0,,,
2005-12-21 06:00:00,,6.6,850.0,0.0,,,
2005-12-21 09:00:00,4.0,,967.4,201.0,1054.63,,51.2
2005-12-21 12:00:00,0.0,11.4,880.4,108.0,142.59,,
2005-12-21 15:00:00,,0.0,1005.4,144.0,66.67,,
2005-12-21 18:00:00,0.0,103.6,908.0,171.0,777.78,,38.4
2005-12-21 21:00:00,5.0,,1003.6,9.0,701.85,26.4,72.0
2005-12-22 00:00:00,,139.0,850.0,108.0,,,51.2
2005-12-22 03:00:00,,192.0,852.4,42.0,,,78.4
2005-12-22 06:00:00,0.0,,926.8,168.0,,,
2005-12-22 09:00:00,0.0,6.4,983.0,96.0,35.19,,51.2
2005-12-22 12:00:00,0.0,6.4,1003.6,96.0,35.19,,51.2
2005-12-22 15:00:00,,102.8,850.0,192.0,9.26,,
2005-12-22 18:00:00,12.0,6.4,852.4,0.0,571.3,,
2005-12-22 21:00:00,6.0,102.8,926.8,3.0,142.59,,12.8
2005-12-23 00:00:00,5.0,,1003.6,9.0,,,51.2
2005-12-23 03:00:00,,129.6,850.0,222.0,,,
2005-12-23 06:00:00,,19.2,1003.6,231.0,0.0,30.4,33.6
2005-12-23 09:00:00,0.0,154.2,971.1,114.0,1015.74,,51.2
2005-12-23 12:00:00,0.0,11.6,860.4,0.0,355.56,,
2005-12-23 15:00:00,,,928.6,0.0,64.81,23.8,
2005-12-23 18:00:00,0.0,,907.1,9.0,737.96,26.5,38.4
2005-12-23 21:00:00,5.0,,1003.6,9.0,601.85,,51.2
2005-12-24 00:00:00,4.0,0.0,944.4,54.0,0.0,23.6,
2005-12-24 03:00:00,,19.2,1003.6,222.0,0.0,32.8,25.6
2005-12-24 06:00:00,0.0,6.4,1003.6,96.0,,,51.2
2005-12-24 09:00:00,,102.8,850.0,192.0,9.26,,
2005-12-24 12:00:00,2.0,0.0,872.2,0.0,1065.74,,44.8
2005-12-24 15:00:00,3.0,3.0,872.1,0.0,1076.85,,67.2
2005-12-24 18:00:00,5.0,,1003.6,9.0,535.19,,51.2
2005-12-24 21:00:00,3.0,128.6,850.0,252.0,1006.48,,
2005-12-25 00:00:00,15.0,188.0,852.4,42.0,,,
2005-12-25 03:00:00,0.0,,926.8,120.0,,,38.4
2005-12-25 06:00:00,0.0,13.8,984.2,288.0,0.0,,12.8
2005-12-25 09:00:00,2.0,0.0,871.2,0.0,1050.0,,81.6
2005-12-25 12:00:00,2.0,2.8,871.1,0.0,1059.26,,59.2
2005-12-25 15:00:00,3.0,80.0,876.7,0.0,1035.19,,75.2
2005-12-25 18:00:00,2.0,157.6,881.3,0.0,1003.7,,75.2
2005-12-25 21:00:00,0.0,6.4,978.6,96.0,35.19,,51.2
2005-12-26 00:00:00,,102.8,895.6,192.0,,,
2005-12-26 03:00:00,12.0,6.4,903.1,0.0,,10.1,
2005-12-26 06:00:00,6.0,102.8,911.8,3.0,,26.6,12.8
2005-12-26 09:00:00,0.0,6.4,968.0,96.0,35.19,,51.2
2005-12-26 12:00:00,,102.8,925.2,192.0,9.26,,
2005-12-26 15:00:00,12.0,6.4,928.5,0.0,571.3,13.8,
2005-12-26 18:00:00,11.0,19.2,1003.6,219.0,0.0,,30.4
2005-12-26 21:00:00,,,850.0,240.0,26.85,,
2005-12-27 00:00:00,,,852.4,120.0,,,92.8
2005-12-27 03:00:00,7.0,,926.8,198.0,,,30.4
2005-12-27 06:00:00,,60.4,853.5,,0.0,,
2005-12-27 09:00:00,14.0,19.2,1003.6,210.0,0.0,10.4,36.8
2005-12-27 12:00:00,,,850.0,48.0,26.85,,27.2
2005-12-27 15:00:00,,,852.4,84.0,568.52,,17.6
2005-12-27 18:00:00,,,926.8,294.0,0.93,,33.6
2005-12-27 21:00:00,15.0,19.2,1003.6,120.0,0.0,44.3,
2005-12-28 00:00:00,2.0,0.0,871.4,0.0,,,75.2
2005-12-28 03:00:00,,8.2,850.0,0.0,,,
2005-12-28 06:00:00,,12.4,850.0,0.0,,16.0,
2005-12-28 09:00:00,4.0,,973.6,207.0,1055.56,,51.2
2005-12-28 12:00:00,0.0,11.4,975.6,156.0,995.37,,
2005-12-28 15:00:00,,0.0,954.3,183.0,65.74,13.8,
2005-12-28 18:00:00,0.0,6.4,855.9,96.0,35.19,,51.2
