data,Velocidade Média do Vento 10m,Precipitação Pluviométrica,Pressão Atmosférica,Direção do Vento 10m,Radiação,Temperatura do Ar a 2m,Umidade Relativa do Ar a 2m
2005-05-01 12:00:00,1.0,0.0,1002.6,147.0,362.04,28.8,70.4
2005-05-01 15:00:00,2.0,0.0,1001.1,96.0,834.26,32.4,46.4
2005-05-01 18:00:00,2.0,0.0,998.3,63.0,766.67,34.1,41.6
2005-05-01 21:00:00,1.0,0.0,999.2,60.0,200.93,29.6,64.0
2005-05-02 00:00:00,1.0,0.0,1001.3,33.0,0.0,26.1,80.0
2005-05-02 03:00:00,0.0,0.0,1001.6,351.0,0.0,24.2,89.6
2005-05-02 06:00:00,0.0,0.0,1000.6,171.0,0.0,24.0,92.8
2005-05-02 09:00:00,0.0,0.0,1001.6,171.0,0.93,24.1,92.8
2005-05-02 12:00:00,1.0,0.0,1002.8,87.0,322.22,29.1,67.2
2005-05-02 15:00:00,2.0,0.0,1000.7,72.0,742.59,32.7,51.2
2005-05-02 18:00:00,2.0,0.0,998.7,45.0,607.41,30.5,64.0
2005-05-02 21:00:00,3.0,16.8,1000.4,3.0,25.93,24.0,88.0
2005-05-03 00:00:00,0.0,0.2,1002.5,84.0,0.0,24.2,89.6
2005-05-03 03:00:00,1.0,0.0,1003.1,90.0,0.0,25.1,91.2
2005-05-03 06:00:00,1.0,0.0,1001.9,153.0,0.0,24.2,91.2
2005-05-03 09:00:00,1.0,0.0,1002.6,144.0,4.63,23.9,91.2
2005-05-03 12:00:00,2.0,0.0,1003.5,153.0,367.59,28.8,68.8
2005-05-03 15:00:00,2.0,0.0,1001.5,141.0,610.19,31.5,57.6
2005-05-03 18:00:00,2.0,0.0,999.2,147.0,610.19,31.6,59.2
2005-05-03 21:00:00,1.0,0.0,1000.9,171.0,74.07,28.3,73.6
2005-05-04 00:00:00,1.0,0.0,1003.1,45.0,0.0,26.4,81.6
2005-05-04 03:00:00,0.0,0.0,1002.4,93.0,0.0,25.4,86.4
2005-05-04 06:00:00,0.0,0.0,1001.6,144.0,0.0,24.5,89.6
2005-05-04 09:00:00,1.0,0.0,1002.4,135.0,1.85,23.7,91.2
2005-05-04 12:00:00,3.0,0.0,1004.0,150.0,383.33,29.4,64.0
2005-05-04 15:00:00,4.0,0.0,1002.1,138.0,726.85,32.2,46.4
2005-05-04 18:00:00,3.0,0.0,999.8,135.0,559.26,31.5,49.6
2005-05-04 21:00:00,2.0,0.0,1001.3,180.0,187.96,28.4,65.6
2005-05-05 00:00:00,1.0,0.4,1003.6,234.0,0.0,25.8,84.8
2005-05-05 03:00:00,1.0,4.8,1002.7,189.0,0.0,24.8,89.6
2005-05-05 06:00:00,1.0,1.2,1002.1,189.0,0.0,23.9,91.2
2005-05-05 09:00:00,1.0,0.8,1002.6,171.0,1.85,23.7,92.8
2005-05-05 12:00:00,2.0,0.0,1003.8,162.0,265.74,27.5,75.2
2005-05-05 15:00:00,2.0,0.0,1001.9,147.0,507.41,30.5,56.0
2005-05-05 18:00:00,1.0,0.0,999.0,111.0,645.37,32.2,44.8
