data,Velocidade Média do Vento 10m,Precipitação Pluviométrica,Pressão Atmosférica,Direção do Vento 10m,Radiação,Temperatura do Ar a 2m,Umidade Relativa do Ar a 2m
2005-04-23 06:00:00,0.0,0.0,1004.5,111.0,0.0,25.3,86.4
2005-04-23 09:00:00,1.0,0.0,1006.2,69.0,3.7,25.2,84.8
2005-04-23 12:00:00,3.0,0.0,1007.7,99.0,318.52,29.2,56.0
2005-04-23 15:00:00,3.0,0.0,1005.3,114.0,843.52,33.0,40.0
2005-04-26 06:00:00,0.0,0.0,1006.0,279.0,,25.3,88.0
2005-04-26 09:00:00,0.0,0.0,1007.2,288.0,1.85,25.0,91.2
2005-04-26 12:00:00,2.0,0.0,1008.8,78.0,311.11,29.3,68.8
2005-04-26 15:00:00,2.0,0.0,1006.6,81.0,767.59,32.2,54.4
2005-04-26 18:00:00,,,1004.3,357.0,210.19,33.7,
2005-04-26 21:00:00,,,1005.4,171.0,1042.59,29.4,24.0
2005-04-27 00:00:00,,,1007.6,360.0,,26.3,57.6
2005-04-27 03:00:00,,,1007.9,183.0,,25.4,
2005-04-27 06:00:00,1.0,0.0,1006.8,282.0,0.0,24.2,91.2
2005-04-27 09:00:00,0.0,0.0,1007.5,120.0,4.63,23.8,91.2
2005-04-27 12:00:00,1.0,0.0,1008.8,84.0,335.19,29.1,70.4
2005-04-27 15:00:00,2.0,0.0,1006.8,81.0,794.44,32.8,52.8
2005-04-27 18:00:00,2.0,0.0,1004.3,54.0,638.89,34.0,49.6
2005-04-27 21:00:00,3.0,0.0,1004.8,39.0,176.85,29.2,68.8
2005-04-28 00:00:00,3.0,0.0,1007.7,42.0,0.0,26.7,80.0
2005-04-28 03:00:00,1.0,0.0,1007.9,57.0,0.0,25.7,88.0
2005-04-28 06:00:00,0.0,0.0,1007.5,129.0,0.0,25.6,89.6
2005-04-28 09:00:00,0.0,0.0,1008.0,60.0,4.63,25.1,91.2
2005-04-28 15:00:00,3.0,0.0,1007.4,63.0,712.96,29.0,68.8
2005-04-28 18:00:00,4.0,0.0,1005.0,42.0,695.37,32.4,57.6
2005-04-28 21:00:00,4.0,0.0,1006.3,36.0,125.93,29.1,70.4
2005-04-29 00:00:00,2.0,0.0,1008.5,48.0,0.0,26.9,81.6
2005-04-29 03:00:00,1.0,0.0,1007.9,72.0,0.0,25.8,88.0
2005-04-29 06:00:00,0.0,0.0,1007.0,105.0,0.0,24.7,91.2
2005-04-29 09:00:00,0.0,0.0,1008.0,123.0,5.56,24.6,91.2
2005-04-29 12:00:00,3.0,0.0,1009.7,114.0,367.59,29.8,65.6
2005-04-29 15:00:00,4.0,0.0,1008.1,102.0,599.07,32.4,56.0
2005-04-29 18:00:00,3.0,0.0,1005.9,96.0,531.48,29.8,65.6
2005-04-29 21:00:00,2.0,0.0,1007.4,15.0,45.37,26.4,80.0
2005-04-30 00:00:00,1.0,0.0,1009.0,300.0,0.0,25.7,84.8
2005-04-30 03:00:00,1.0,0.0,1008.3,246.0,0.0,25.4,88.0
2005-04-30 06:00:00,1.0,0.0,1007.3,129.0,0.0,24.2,91.2
2005-04-30 09:00:00,0.0,0.0,1008.9,135.0,6.48,24.0,91.2
2005-04-30 12:00:00,1.0,0.0,1010.3,126.0,338.89,29.6,65.6
2005-04-30 15:00:00,3.0,0.0,1008.3,105.0,710.19,32.0,56.0
2005-04-30 18:00:00,2.0,0.0,1005.7,78.0,654.63,33.8,44.8
2005-04-30 21:00:00,3.0,0.0,1008.1,60.0,173.15,27.6,68.8
2005-05-01 00:00:00,1.0,0.0,1009.4,279.0,0.0,26.1,83.2
2005-05-01 03:00:00,0.0,0.0,1009.0,318.0,0.0,25.6,86.4
2005-05-01 06:00:00,1.0,3.2,1007.7,123.0,0.0,25.0,89.6
2005-05-01 09:00:00,1.0,0.0,1008.5,96.0,4.63,24.7,91.2
2005-05-01 12:00:00,1.0,0.2,1009.7,117.0,387.96,28.8,67.2
2005-05-01 15:00:00,2.0,0.0,1008.2,87.0,806.48,32.2,49.6
2005-05-01 18:00:00,2.0,0.0,1005.8,72.0,739.81,33.4,43.2
2005-05-01 21:00:00,2.0,0.0,1006.2,54.0,184.26,28.9,68.8
2005-05-02 00:00:00,1.0,0.0,1008.0,33.0,0.0,26.5,78.4
2005-05-02 03:00:00,0.0,0.0,1007.9,3.0,0.0,24.7,88.0
2005-05-02 06:00:00,0.0,0.0,1006.9,147.0,0.0,23.7,91.2
2005-05-02 09:00:00,0.0,0.0,1008.2,291.0,0.93,24.1,91.2
2005-05-02 15:00:00,2.0,0.0,1008.3,63.0,705.56,31.0,64.0
2005-05-02 18:00:00,3.0,1.4,1006.2,30.0,460.19,28.2,67.2
2005-05-02 21:00:00,3.0,0.0,1007.1,39.0,205.56,28.0,76.8
2005-05-03 00:00:00,1.0,0.0,1008.8,90.0,0.0,25.6,84.8
2005-05-03 03:00:00,1.0,0.0,1009.4,75.0,0.0,24.9,89.6
2005-05-03 06:00:00,0.0,1.2,1008.3,150.0,0.0,25.1,91.2
2005-05-03 09:00:00,0.0,0.0,1009.2,180.0,5.56,24.9,89.6
2005-05-03 12:00:00,2.0,0.0,1010.7,141.0,340.74,28.5,76.8
2005-05-03 15:00:00,2.0,0.0,1008.8,180.0,690.74,31.5,56.0
2005-05-03 18:00:00,1.0,0.0,1006.3,189.0,532.41,32.9,51.2
2005-05-03 21:00:00,2.0,5.4,1007.5,318.0,123.15,26.8,81.6
2005-05-04 00:00:00,1.0,0.0,1009.6,39.0,0.0,26.1,83.2
2005-05-04 03:00:00,1.0,0.0,1008.7,96.0,0.0,25.5,88.0
2005-05-04 06:00:00,0.0,0.0,1007.6,135.0,0.0,25.0,89.6
2005-05-04 09:00:00,1.0,0.0,1008.6,111.0,6.48,24.1,88.0
2005-05-04 12:00:00,2.0,0.0,1011.1,117.0,401.85,29.0,68.8
2005-05-04 15:00:00,3.0,0.0,1009.4,138.0,570.37,31.0,52.8
2005-05-04 18:00:00,2.0,0.0,1006.7,132.0,562.04,33.1,43.2
2005-05-04 21:00:00,2.0,0.0,1008.0,174.0,143.52,28.8,67.2
2005-05-05 00:00:00,2.0,0.0,1010.2,66.0,0.0,25.3,83.2
2005-05-05 03:00:00,0.0,0.0,1009.2,102.0,0.0,25.3,88.0
2005-05-05 06:00:00,1.0,1.6,1008.5,204.0,0.0,24.3,89.6
2005-05-05 09:00:00,1.0,14.4,1009.4,162.0,1.85,23.2,92.8
2005-05-05 12:00:00,1.0,0.2,1010.7,195.0,245.37,27.4,81.6
2005-05-05 15:00:00,2.0,0.0,1008.6,156.0,594.44,30.7,67.2
